PMID,TI,AB,JT
40030191,Image-and-Label Conditioning Latent Diffusion Model: Synthesizing A$\beta$-PET From MRI for Detecting Amyloid Status.,"Deposition of $\beta$-amyloid (A$\beta$), which is generally observed by A$\beta$-PET, is an important biomarker to evaluate subjects with early-onset dementia. However, acquisition of A$\beta$-PET usually suffers from high expense and radiation hazards, making A$\beta$-PET not commonly used as MRI. As A$\beta$-PET scans are only used to determine whether A$\beta$ deposition is positive or not, it is highly valuable to capture the underlying relationship between A$\beta$ deposition and other neuroimages (i.e., MRI) and detect amyloid status based on other neuroimages to reduce necessity of acquiring A$\beta$-PET. To this end, we propose an image-and-label conditioning latent diffusion model (IL-CLDM) to synthesize A$\beta$-PET scans from MRI scans by enhancing critical shared information to finally achieve MRI-based A$\beta$ classification. Specifically, two conditioning modules are introduced to enable IL-CLDM to implicitly learn joint image synthesis and diagnosis: 1) an image conditioning module, to extract meaningful features from source MRI scans to provide structural information, and 2) a label conditioning module, to guide the alignment of generated scans to the diagnosed label. Experiments on a clinical dataset of 510 subjects demonstrate that our proposed IL-CLDM achieves image quality superior to five widely used models, and our synthesized A$\beta$-PET scans (by IL-CLDM) can significantly help classification of A$\beta$ as positive or negative.",IEEE journal of biomedical and health informatics
39762903,Effects of Alzheimer's disease plasma marker levels on multilayer centrality in healthy individuals.,"BACKGROUND: Changes in amyloid beta (Aβ) and phosphorylated tau brain levels are known to affect brain network organization but very little is known about how plasma markers can relate to these measures. We aimed to address the relationship between centrality network changes and two plasma pathology markers: phosphorylated tau at threonine 231 (p-tau231), a proxy for early Aβ change, and neurofilament light chain (Nfl), a marker of axonal degeneration. METHODS: One hundred and four cognitively unimpaired individuals were divided into a high pathology load (33 individuals; HP) group and a low pathology (71 individuals; LP) one. All participants underwent a magnetoencephalography (MEG) recording, a neuropsychological evaluation and plasma sampling. With the MEG recordings, a compound centrality score for each brain source was calculated that considered both intra- and inter-band links. For each group, the relationship between this centrality score and the two plasma markers was studied by means of correlation analyses. Furthermore, the relationship between the centrality score and the plasma markers among the HP and LP groups was compared. Lastly, we investigated whether hubs were more intensely affected by these changes. RESULTS: Increasing concentrations of p-tau231, which is a proxy of Aβ pathology, were associated with greater theta centrality score of posterior areas that increased their connectedness in the theta range with the remaining areas, regardless of the latter's frequency range. The opposite relationship was found for left areas that decreased their centrality score in the gamma frequency range. These results only emerged for HP individuals, who showed a significantly different relationship between centrality and p-tau231 compared to LP individuals. Hubs' centrality score in the theta band was significantly more affected by p-tau231 levels compared to less central regions. CONCLUSIONS: Early brain network reorganizations in cognitively unimpaired individuals are associated with elevated plasma p-tau231, a proxy for very early Aβ changes, only among individuals who show signs of a higher pathology load. Posterior centrality score increases in the theta band are congruent with previous literature and theoretical models, while gamma centrality score losses could be associated with inhibitory neuron dysfunction. Hubs were more intensely affected by p-tau231, and changed to a higher degree, thus corroborating hubs' vulnerability.",Alzheimer's research & therapy
39800455,Motor abilities and cognitive performance in Latinos with autosomal dominant Alzheimer's disease.,"BACKGROUND: Declining motor abilities might be a noninvasive biomarker for Alzheimer's disease (AD). Studying motor ability and AD progression in younger Latinos with autosomal dominant Alzheimer's disease (ADAD) can provide insights into the interplay between motor ability and cognition in individuals with minimal confounding from age-normative changes and comorbid medical conditions. OBJECTIVES: This study aimed to (1) examine motor abilities as a function of years to dementia diagnosis and (2) examine associations between motor ability and cognitive performance. DESIGN: This was a cross-sectional observational study. SETTING: The study took place at the University of Southern California. PARTICIPANTS: 39 predominately Latino individuals (mean age 38.6 ± 10 years old) known to carry (carriers; n=25) or be at 50% risk for inheriting ADAD but not carrying the mutation (noncarriers; n=14). MEASUREMENTS: Individuals completed the motor and cognitive batteries from the National Institute of Health Toolbox (NIHTB) and the Cognitive Abilities Screening Instrument (CASI). All models included effects for age, education, primary language, and sex. RESULTS: Compared to noncarriers, ADAD mutation carriers had significantly weaker grip strength at 12 years, worse manual dexterity at 10 years, and slower gait speed seven years before the expected age of dementia diagnosis. Worse motor ability was associated with a more severe cognitive disease stage and worse CASI performance, adjusting for demographic and clinical variables. CONCLUSIONS: The findings support the utility of motor performance, precisely grip strength, manual dexterity, and gait speed as potential biomarkers of preclinical AD.",The journal of prevention of Alzheimer's disease
40472196,Neuroinflammatory chemokine networks in transgenic models of Alzheimer's disease: A comparative multi-compartmental analysis.,"BackgroundAlzheimer's disease (AD) progression is critically modulated by neuroinflammatory cascades involving chemokine-mediated glial activation.ObjectiveThis study aimed to systematically compare compartment-specific chemokine signatures between two distinct AD mouse models (2×Tg-AD [APPswe/PS1dE9] and 3×Tg-AD [APPswe/PS1M146V/TauP301L]), hypothesizing that differential chemokine expression patterns would emerge in a model- and brain region-specific manner, correlating with glial activation profiles.ResultsUsing a Luminex liquid suspension chip assay, we quantified 22 chemokines in serum and brain tissues from transgenic and non-transgenic controls, complemented by Western blot analysis of microglial and astrocytic markers. Twenty-two chemokines were quantitatively analyzed with three key findings: First, serum analysis revealed elevated levels of (i) CCL11, CCL17, CCL24, CCL27, and CXCL12 in 3×Tg-AD versus non-Tg mice; (ii) CCL22 in 2×Tg-AD versus non-Tg mice; and (iii) CCL5, CCL11, CCL17, CCL24, CCL27, and CXCL12 in 3×Tg-AD versus 2×Tg-AD mice. Second, hippocampal changes showed upregulation of CCL3/CCL12 in 2×Tg-AD and CXCL16 in 3×Tg-AD mice, with cortical alterations demonstrating distinct CCL3/CCL12/CCL4 increases in 2×Tg-AD versus elevated CCL1/CXCL13 in 3×Tg-AD mice. Third, Western blot confirmed enhanced hippocampal microglial activation specifically in 3×Tg-AD mice. ConclusionOur findings establish model-specific chemokine signatures that differentially engage neuroinflammatory pathways, suggesting that 3×Tg-AD mice may better replicate human AD's complex chemokine-glia interactions. This compartmentalized profiling provides a framework for targeting chemokine networks in model-specific therapeutic development and biomarker discovery. Further studies are needed to determine whether elevated chemokine expression directly contributes to microglial activation.",Human & experimental toxicology
40297494,Cerebrospinal fluid levels of tumour necrosis factor-α and its receptors are not associated with disease progression in Alzheimer's disease.,"INTRODUCTION: Tumour necrosis factor-α (TNF-α) is a proinflammatory cytokine implicated in the regulation of innate and adaptive immunity. Two receptors exist for TNF-α: TNF receptors 1 (TNFR-1) and 2 (TNFR-2). TNFR-1 and TNFR-2 have been reported to be involved in pleiotropic functions. Multiple lines of evidence implicate TNF-α and its receptors as potential risk factors for Alzheimer's disease (AD). Studies are warranted to assess the association of TNF-α, TNFR-1, and TNFR-2 with AD pathogenesis and whether they can serve as prognostic biomarkers indicative of AD. METHODS: In the present study, baseline levels of cerebrospinal fluid (CSF) TNF-α, TNFR-1, and TNFR-2 were explored, and their potential as biomarkers to differentiate between individuals who remain stable and those who experience disease progression over 10 years in the Alzheimer's Disease Neuroimaging Initiative (ADNI) was assessed. The study also examined the correlation between baseline CSF proteins with established AD biomarkers, neuroimaging measures, and cognition. RESULTS: Whilst the present study shows associations between baseline CSF levels of TNFs with AD biomarkers, the nature of the relationship is ambiguous. DISCUSSION: The present study concludes that CSF TNFs do not serve as reliable or robust disease biomarkers of AD.",Frontiers in aging neuroscience
40020758,Diagnosing preclinical and clinical Alzheimer's disease with visual atrophy scales in the clinical practice.,"BACKGROUND:  Visual atrophy scales from the medial temporal region are auxiliary biomarkers of neurodegeneration in Alzheimer's disease (AD). Therefore, they may correlate with progression from cognitively unimpaired (CU) status to mild cognitive impairment (MCI) and AD, and they become a valuable tool for diagnostic accuracy. OBJECTIVE:  To compare the medial temporal lobe atrophy (MTA) and entorhinal cortex atrophy (ERICA) scores measured through magnetic resonance image (MRI) scans as a useful method for probable AD diagnosis regarding clinical diagnosis and amyloid positron-emission tomography (PET). METHODS:  Two neurologists blinded to the diagnoses classified 113 older adults (age > 65 years) through the MTA and ERICA scores. We investigated the correlations involving these scores and sociodemographic data, amyloid brain cortical burden measured through PET imaging with (11)C-labeled Pittsburgh Compound-B (11C-PIB PET), and clinical cognitive status, in individuals diagnosed as CU (CU; N = 30), presenting mild cognitive impairment (MCI, N = 52), and AD patients (N = 31). RESULTS:  The inter-rater reliability of the atrophy scales was excellent (0.8-1) according to the Cohen analysis. The CU group presented lower MTA scores (median value: 0) than ERICA (median value: 1) scores in both hemispheres. The 11C-PIB-PET was positive in 45% of the sample. In the MCI and AD groups, the ERICA score presented greater sensitivity, and the MTA score presented greater specificity. The accuracy of the clinical diagnosis was sufficient and no more than 70% for both scores in AD. CONCLUSION:  In the present study, we found moderate sensitivity for the ERICA score, which could be a better screening tool than the MTA score for the diagnosis of AD or MCI. However, none of the scores were useful imaging biomarkers in preclinical AD.",Arquivos de neuro-psiquiatria
40462860,Brain glymphatic fluid mapping in Alzheimer's disease: a human MRI and PET study.,"Glymphatic system has been identified as a fluid exchange network in brain parenchymal for removal of toxic metabolites in Alzheimer's disease. However, a clinically feasible, accurate, and non-invasive imaging technique for mapping global glymphatic fluid distribution throughout the entire brain and monitoring its dysfunction in Alzheimer's disease is currently lacking. This cross-sectional retrospective study aims to compare three MRI-based measures of the glymphatic system structural alterations, a novel multi-echo T2 relaxometry-based parenchymal CSF (pCSF) mapping, T2 weighted-based segmented perivascular space burden, and diffusion tensor imaging-based free-water mapping. We evaluated their cross-correlation and investigated their respective association with PET measured beta-amyloid deposition using (11)C-PiB PET. A total of 29 subjects (18 Female, age: 70.07 ± 8.73 years old), among them, 16 were cognitively normal and 13 were mild cognitive impairment or Alzheimer's disease, underwent both MRI and (11)C-PiB PET scans. Parenchymal CSF mapping, diffusion-based free-water mapping and perivascular spaces burden were generated from their respective MRI. Age and sex effects and group differences of these biomarkers were evaluated. The associations among these measures and Aβ deposition on (11)C-PiB PET were analysed and compared. Our analysis demonstrated moderate correlations between pCSF, diffusion-based free-water mapping and perivascular space burden, suggesting these biomarkers capture overlapping yet distinct aspects of glymphatic fluid distribution. Importantly, linear regression analyses revealed that pCSF exhibited a significantly stronger positive association with beta-amyloid deposition (white matter: t = 3.536, P = 0.002, R (2) = 0.446; Alzheimer's disease-related meta regions: t = 4.510, P < 0.001, R (2) = 0.541), compared with diffusion-based free-water mapping in white matter (t = 0.843, P = 0.407, R (2) = 0.191) and perivascular space burden (t = 0.422, P = 0.677, R (2) = 0.174), after adjusting for age and sex. This study identifies pCSF mapping, derived from multi-echo T2 data with clinically feasible 5 mins scan FAST-T2 sequence, as a potential non-invasive imaging biomarker for assessing glymphatic dysfunction in Alzheimer's disease. The superior sensitivity of pCSF mapping arises from its direct quantification of glymphatic fluid at the water molecular level based on free CSF-specific T2 relaxation properties. These results suggest that pCSF could be useful in the monitoring of Alzheimer's disease progression as beta-amyloid accumulating and predicting response to anti-amyloid therapies, potentially leading to better diagnostic strategies and therapeutic interventions of Alzheimer's disease.",Brain communications
39863324,Distinct CSF α-synuclein aggregation profiles associated with Alzheimer's disease phenotypes and MCI-to-AD conversion.,"BACKGROUND: α-Synuclein (α-Syn) pathology is present in 30-50 % of Alzheimer's disease (AD) patients, and its interactions with tau proteins may further exacerbate pathological changes in AD. However, the specific role of different aggregation forms of α-Syn in the progression of AD remains unclear. OBJECTIVES: To explore the relationship between various aggregation types of CSF α-Syn and Alzheimer's disease progression. DESIGN: We conducted a retrospective analysis of data from the Alzheimer's Disease Neuroimaging Initiative (ADNI) to examine the association between different α-Syn aggregation forms-Syn0 (no detectable α-Syn aggregates) and Syn1 (α-Syn aggregates detected, resembling those found in Parkinson's disease)-with the pathological and clinical features of AD. Additionally, we evaluated their potential as predictors of conversion from mild cognitive impairment (MCI) to AD. SETTING: The ADNI database. PARTICIPANTS: A total of 250 participants, including 70 cognitively normal controls, 119 patients diagnosed with MCI, and 61 patients diagnosed with AD. MEASUREMENTS: Pearson correlation was employed to assess the relationship between α-Syn levels and cerebrospinal fluid (CSF) biomarkers, including total tau (T-tau), phosphorylated tau (p-tau), and amyloid-β(42) (Aβ(42)). Multivariate Cox proportional hazards models were applied, adjusting for APOE4 status, age, and sex, to determine the association between α-Syn forms and AD-related pathological and clinical outcomes. Kaplan-Meier curves were used to evaluate the prognostic value of different α-Syn aggregation states in predicting the conversion from MCI to AD. RESULTS: Compared with controls, overall MCI and AD patients had elevated α-Syn levels. Notably, in the α-Syn0 group, α-Syn levels were increased in the MCI patients and further increased in AD patients, whereas in the α-Syn1 group, α-Syn levels did not significantly differ across diagnostic groups. Both in the α-Syn0 and α-Syn1 groups, α-Syn levels were found to correlate more strongly with CSF tau levels than with Aβ(42), indicating a possible role for α-Syn in tau-related pathology in AD. Importantly, α-Syn0-AD patients exhibited more rapid cognitive decline and greater hippocampal atrophy than α-Syn1-AD patients. However, MCI patients with CSF α-Syn1 aggregation status had an increased risk of conversion to AD. CONCLUSIONS: CSF α-Syn is associated with tau pathology and neurodegeneration in Alzheimer's disease. The distinct aggregation profiles of α-Syn serve as valuable biomarkers, offering insights into differing prognoses in AD and aiding in the prediction of early disease progression.",The journal of prevention of Alzheimer's disease
39895108,Correlation between serum YKL-40 and VILIP 1 levels and brain volume in dementia patients.,"AIM: Alzheimer's disease (AD) is a chronic, progressive cognitive disorder characterized by prominent episodic memory impairment. The contribution of neuronal damage and neuroinflammation to this process has been investigated by measuring various substances. Two of the most promising substances in serum and plasma studies are visinin-like protein 1 (VILIP-1) and tyrosine (Y), lysine (K), leucine (L)-40 (YKL-40). These markers may lead to early diagnosis and new treatment options. METHODS: Serum VILIP-1 and YKL-40 levels were analyzed in 33 probable AD patients and 23 healthy controls. Cranial magnetic resonance imaging (MRI) was used for volumetric measurements. The results were compared with the control group and then the correlation analyze between markers and volumetric measurements of the patient group was achieved. RESULTS: The right and left hippocampus and amygdala, left medial temporal, right rostral anterior cingulate, total brain, cortex, white matter, gray matter, subcortical gray matter, right and left total cortex volumes of the probable AD group were significantly lower than those of the control group. In the correlation analysis, the YKL-40 level and left posterior cingulate volume and the VILIP-1 level and left amygdala volume were negatively correlated. CONCLUSIONS: In AD, there is atrophy of the limbic structures, cortex, and white matter. While the relationship between these regions and neurodegenerative markers remains unclear, our findings highlight a notable correlation between YKL-40 and VILIP-1 levels and the left amygdala and left posterior cingulate cortex, respectively. Geriatr Gerontol Int 2025; 25: 374-379.",Geriatrics & gerontology international
39850631,Clinical characteristics and biomarker profile in early- and late-onset Alzheimer's disease: the Shanghai Memory Study.,"Early-onset Alzheimer's disease constitutes ∼5-10% of Alzheimer's disease. Its clinical characteristics and biomarker profiles are not well documented. To compare the characteristics covering clinical, neuropsychological and biomarker profiles between patients with early- and late-onset Alzheimer's disease, we enrolled 203 patients (late-onset Alzheimer's disease = 99; early-onset Alzheimer's disease = 104) from a Chinese hospital-based cohort, the Shanghai Memory Study. A full panel of plasma biomarkers under the amyloid/tau/neurodegeneration framework including plasma amyloid beta 40, amyloid beta 42, total-tau, neurofilament light chain and phosphorylated tau 181 were assayed using ultra-sensitive Simoa technology. Seventy-five patients underwent an amyloid molecular positron emission tomography scan whereas 43 received comprehensive amyloid, Tau deposition and hypometabolism analysis. Clinical features, plasma and imaging biomarkers were compared cross-sectionally. Compared to those with late-onset Alzheimer's disease, patients with early-onset Alzheimer's disease presented more severe impairment in language function, lower frequency of APOE ɛ4 and lower levels of plasma neurofilament light chain (all P < 0.05). The plasma phosphorylated tau 181 concentration and phosphorylated tau 181/amyloid beta 42 ratios were higher in early-onset Alzheimer's disease than in late-onset Alzheimer's disease (all P < 0.05). More severe Tau deposition as indicated by (18)F-florzolotau binding in the precuneus, posterior cingulate cortex and angular gyrus was observed in the early-onset Alzheimer's disease group. Plasma phosphorylated tau 181 was associated with earlier age at onset and domain-specific cognitive impairment, especially in patients with early-onset Alzheimer's disease. We concluded that patients with early-onset Alzheimer's disease differed from late-onset Alzheimer's disease in cognitive performance and biomarker profile. A higher burden of pathological tau was observed in early-onset Alzheimer's disease and was associated with earlier age at onset and more profound cognitive impairment.",Brain communications
39747269,Resting-state functional magnetic resonance imaging study on cerebrovascular reactivity changes in the precuneus of Alzheimer's disease and mild cognitive impairment patients.,"Alzheimer's disease (AD) is a progressive neurodegenerative disorder characterized by memory impairment and cognitive decline, ultimately culminating in dementia. This study aims to evaluate cerebrovascular reactivity (CVR) and functional connectivity (FC) in patients with AD and mild cognitive impairment (MCI) using resting-state functional magnetic resonance imaging (rs-fMRI), bypassing the requirement for hypercapnia. The study cohort comprised 53 AD patients, 38 MCI patients, and 39 normal control (NC) subjects. CVR is derived by extracting signals within specific frequency bands of rs-fMRI. This study compares the differences in CVR and FC among the three groups, using the brain regions with CVR differences as region of interest (ROI) for FC analysis. The correlation between CVR and FC and cognitive scale score was discussed. Compared with NC subjects, AD patients exhibited a decrease in CVR in the PCUN.L, whereas MCI patients showed an increase in CVR in the PCUN.R. With PCUN.L as ROI, FC in PCUN.R decreased in AD patients, and FC in SFGmed.R and other brain regions increased in MCI patients compared with NC subjects. The results of the correlation analysis indicate that CVR in all patients, as well as FC with the PCUN.L as the ROI to the PCUN.R and SFGmed.R, show positive correlations with MMSE and MoCA scores. These results suggest that there are significant differences between CVR and FC with CVR differential brain regions as ROI among the AD, MCI, and NC groups, which may help to explain the hemodynamic mechanism. CVR obtained with rs-fMRI may be a potential biomarker for assessing cognitive impairment.",Scientific reports
39862333,Quantifying natural amyloid plaque accumulation in the continuum of Alzheimer's disease using ADNI.,"Brain amyloid beta neuritic plaque accumulation is associated with an increased risk of progression to Alzheimer's disease (AD) [Pfeil, J., et al. in Neurobiol Aging 106: 119-129, 2021]. Several studies estimate rates of change in amyloid plaque over time in clinically heterogeneous cohorts with different factors impacting amyloid plaque accumulation from ADNI and AIBL [Laccarino, L., et al. in Annals Clin and Trans Neurol 6: 1113 1120, 2019, Vos, S.J., et al. in Brain 138: 1327-1338, 2015, Lim, Y.Y., et al. in Alzheimer's Dementia 9: 538-545, 2013], but there are no reports using non-linear mixed effect model for amyloid plaque progression over time similar to that existing of disease-modifying biomarkers for other diseases [Cook, S.F. and R.R. Bies in Current Pharmacol Rep 2: 221-230, 2016, Gueorguieva, I., et al. in Alzheimer's Dementia 19: 2253-2264, 2023]. This study describes the natural progression of amyloid accumulation with population mean and between-participant variability for baseline and intrinsic progression rates quantified across the AD spectrum. 1340 ADNI participants were followed over a 10-year period with (18)F-florbetapir PET scans used for amyloid plaque detection. Non-linear mixed effect with stepwise covariate modelling (scm) was used. Change in natural amyloid plaque levels over 10 year period followed an exponential growth model with an intrinsic rate of approx. 3 centiloid units/year. Age, gender, APOE4 genotype and disease stage were important factors on the baseline in the natural amyloid model. In APOE4 homozygous carriers mean baseline amyloid was increased compared to APOE4 non carriers. These results demonstrate natural progression of amyloid plaque in the continuum of AD.",Journal of pharmacokinetics and pharmacodynamics
39813057,Age- and Sex-Specific Regulation of Serine Racemase in the Retina of an Alzheimer's Disease Mouse.,"PURPOSE: Changes associated with Alzheimer's disease (AD) may have measurable effects on the retina, which may facilitate early detection due to the eye's accessibility. Retinal pathology and the regulation of serine racemase (SR) were investigated in the retinas of APP(SW)/PS1(∆E9) mice. METHODS: SR in the retinas and the content of D-serine in the aqueous humor were analyzed. The structure and function of the retina were assessed. Additionally, the regulation of SR in primary Müller cell cultures was investigated. RESULTS: SR levels were significantly higher in the retinas of 18- and 24-month-old male APP/PS1 mice, whereas aqueous humor D-serine was lower in 24-month-old APP/PS1 male mice compared to wild-type (WT) mice. Neither Aβ nor 17β-estradiol increased SR, but the combination of both did in Müller cell cultures. In contrast, 17β-estradiol increased Srr mRNA in the cultures. At 8 months of age, male APP/PS1 mice began to display reduced b-wave amplitude in scotopic and photopic electroretinography (ERG) recordings, unlike female APP/PS1 mice. Although the retinal layer thickness in APP/PS1 mice did not differ from WT mice, there was overt apoptosis in the inner and outer nuclear layers of the APP/PS1 mice retinas. CONCLUSIONS: The age- and sex-specific regulation of SR is correlated with the pathology of an AD retina. Because the time window for SR regulation and D-serine alteration occurs after photoreceptor dysfunction in the AD retinas, it has limited value as a detection biomarker but may be useful as a topographic biomarker for staging severity and monitoring drug interventions in the eye or central nervous system.",Investigative ophthalmology & visual science
39777990,The Taiwan-ADNI workflow toward integrating plasma p-tau217 into prediction models for the risk of Alzheimer's disease and tau burden.,"INTRODUCTION: We integrated plasma biomarkers from the Taiwan Alzheimer's Disease Neuroimaging Initiative and propose a workflow to identify individuals showing amyloid-positive positron emission tomography (PET) with low/intermediate tau burden based on [18F]Florzolotau PET-based quantification. METHODS: We assessed 361 participants across the Alzheimer's disease (AD) and non-AD continuum and measured plasma phosphorylated tau (p-tau)217, p-tau181, amyloid beta (Aβ)42/40 ratio, neurofilament light chain, and glial fibrillary acidic protein levels at two medical centers. We evaluated the diagnostic potential of these biomarkers. RESULTS: Among all plasma biomarkers, p-tau217 had the highest consistency with amyloid PET results (area under the curve = 0.94), and a cutoff value could have reduced the number of confirmatory amyloid PET scans by 57.5%. In amyloid PET-positive cases intending to use anti-amyloid therapy, p-tau217 level, along with clinical parameters, had the highest predictive ability for low/intermediate tau burden. DISCUSSION: A two-step workflow based on p-tau217 and confirmatory amyloid PET could accurately classify AD patients showing low/intermediate tau burden. HIGHLIGHTS: The emergence of anti-amyloid therapy increases the need to accurately diagnose Alzheimer's disease (AD). The use of plasma biomarkers, especially phosphorylated tau 217 (p-tau217), can help in the diagnosis of AD. P-tau217 is a better predictor of amyloid positron emission tomography (PET) positivity than other core biomarkers. In amyloid PET-positive individuals, p-tau217 can predict tau burden. We propose a two-step workflow to identify AD cases suitable for treatment.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39973504,Subcortical tau burden correlates with regional brain atrophy and plasma markers in four-repeat tauopathy parkinsonism.,"Background(18)F-florzolotau positron emission tomography (PET) assists in the in vivo diagnosis of progressive supranuclear palsy (PSP).ObjectiveWe aimed to investigate the relationship between (18)F-florzolotau uptake and clinical severity, structural volume changes, and plasma markers in four-repeat tauopathies.MethodsA total of 80 participants were recruited: 35 with PSP (11 with PSP-Richardson syndrome and 24 with PSP non-Richardson syndrome), 9 with corticobasal syndrome (CBS), 10 with Alzheimer's disease (AD), 8 with Parkinson's disease, and 18 controls. All participants underwent (18)F-florzolotau PET, brain magnetic resonance imaging (MRI), and plasma biomarker investigation (total and phosphorylated tau [pTau181], neurofilament light chain, and glial fibrillary acidic protein [GFAP]).Results(18)F-Florzolotau uptake was significantly higher in the subcortical regions of the pallidum, subthalamic nucleus (STN), midbrain, red nucleus, and raphe nucleus in PSP patients compared to the other groups (all p < 0.01). Subcortical tau tracer retention assisted in distinguishing PSP and CBS from controls (AUC = 0.836, p < 0.001). Tau tracer retention could differentiate PSP and CBS from AD in cortical (p < 0.001) and subcortical regions (p = 0.028). The motor severity of PSP positively correlated with tau burden in STN (p = 0.044) and substantia nigra (p = 0.035). Tau tracer uptake was associated with cortical volume changes in CBS (p = 0.031), PSP non-Richardson syndrome (p = 0.003), and AD (p = 0.044). Cortical tau retention correlated with plasma levels of GFAP (p = 0.001) and pTau181 (p = 0.036).ConclusionsSubcortical (18)F-Florzolotau uptake assist the diagnosis of 4R tauopathy parkinsonism. Additionally, regional tau burden contributes to structural brain volume changes and correlates with plasma levels of GFAP and pTau181.",Journal of Parkinson's disease
39908635,Unveiling Alzheimer's disease through brain age estimation using multi-kernel regression network and magnetic resonance imaging.,"BACKGROUND AND OBJECTIVE: Structural magnetic resonance imaging (MRI) studies have unveiled age-related anatomical changes across various brain regions. The disparity between actual age and estimated age, known as the Brain-Predicted Age Difference (Brain-PAD), serves as an indicator for predicting neurocognitive ailments or brain abnormalities resulting from diseases. This study aims to develop an accurate brain age prediction model that can assist in identifying potential neurocognitive impairments. METHODS: The present study implemented a brain age prediction model using a ResNet-50 deep network and a multi-kernel extreme learning machine (MKELM) regression network, relying on MRI images. Kernel methods translate input information into higher-dimensional space by introducing nonlinearity and enabling the model to grasp complicated data patterns. A multi-kernel function combines the Gaussian and polynomial kernels and is incorporated into the brain age regression model. The model effectively utilizes the benefits of both kernel functions to estimate the ages accurately. MRI scans are segmented into gray matter (GM) and white matter (WM) maps preprocessed and extracted of significant features using the ResNet-50 deep network. Extracted features of the WM and GM datasets are fed into the MKELM regression model for brain age prediction. RESULTS: The proposed age estimation framework achieved 3.06 years of mean absolute error (MAE) and 4.12 years of root mean square error (RMSE) on healthy controls (HC) WM scans, and on GM scans, 2.73 years of MAE and 3.65 years of RMSE values. To further validate the importance of Brain-PAD as a biomarker for identifying brain health conditions, an independent testing dataset of mild cognitive impairment (MCI) and Alzheimer's disease (AD) subjects age is predicted. The Brain-PAD values for AD subjects' GM images are significantly higher compared to those of HC and MCI subjects, indicating distinct brain health conditions. Furthermore, variations in GM and WM tissue were identified in AD subjects, revealing that the parahippocampus and corpus callosum were notably affected. CONCLUSION: Our findings underscore the potential of Brain-PAD as a significant biomarker for assessing brain health, with implications for early detection of neurocognitive diseases. The developed framework effectively estimates brain age using MRI, contributing valuable insights into the relationship between brain structure and cognitive health.",Computer methods and programs in biomedicine
39863332,Identifying proteomic prognostic markers for Alzheimer's disease with survival machine learning: The Framingham Heart Study.,"BACKGROUND: Protein abundance levels, sensitive to both physiological changes and external interventions, are useful for assessing the Alzheimer's disease (AD) risk and treatment efficacy. However, identifying proteomic prognostic markers for AD is challenging by their high dimensionality and inherent correlations. METHODS: Our study analyzed 1128 plasma proteins, measured by the SOMAscan platform, from 858 participants 55 years and older (mean age 63 years, 52.9 % women) of the Framingham Heart Study (FHS) Offspring cohort. We conducted regression analysis and machine learning models, including LASSO-based Cox proportional hazard regression model (LASSO) and generalized boosted regression model (GBM), to identify protein prognostic markers. These markers were used to construct a weighted proteomic composite score, the AD prediction performance of which was assessed using time-dependent area under the curve (AUC). The association between the composite score and memory domain was examined in 339 (of the 858) participants with available memory scores, and in a separate group of 430 participants younger than 55 years (mean age 46, 56.7 % women). RESULTS: Over a mean follow-up of 20 years, 132 (15.4 %) participants developed AD. After adjusting for baseline age, sex, education, and APOE ε4 + status, regression models identified 309 proteins (P ≤ 0.2). After applying machine learning methods, nine of these proteins were selected to develop a composite score. This score improved AD prediction beyond the factors of age, sex, education, and APOE ε4 + status across 15-25 years of follow-up, achieving its peak AUC of 0.84 in the LASSO model at the 22-year follow-up. It also showed a consistent negative association with memory scores in the 339 participants (beta = -0.061, P = 0.046), 430 participants (beta = -0.060, P = 0.018), and the pooled 769 samples (beta = -0.058, P = 0.003). CONCLUSION: These findings highlight the utility of machine learning method in identifying proteomic markers in improving AD prediction and emphasize the complex pathology of AD. The composite score may aid early AD detection and efficacy monitoring, warranting further validation in diverse populations.",The journal of prevention of Alzheimer's disease
39713891,Association of APOE alleles and polygenic profiles comprising APOE-TOMM40-APOC1 variants with Alzheimer's disease neuroimaging markers.,"INTRODUCTION: TOMM40 and APOC1 variants can modulate the APOE-ε4-related Alzheimer's disease (AD) risk by up to fourfold. We aim to investigate whether the genetic modulation of ε4-related AD risk is reflected in brain morphology. METHODS: We tested whether 27 magnetic resonance imaging-derived neuroimaging markers of neurodegeneration (volume and thickness in temporo-limbic regions) are associated with APOE-TOMM40-APOC1 polygenic profiles using the National Alzheimer's Coordinating Center Uniform Data Set linked to the AD Genetic Consortium data. RESULTS: All brain regions studied using structural phenotypes were smaller in individuals with AD. The ε4 allele was associated with smaller limbic (entorhinal, hippocampus, parahippocampus) brain volume and cortical thickness in AD cases than controls. There were significant differences in the associations for the higher-risk and lower-risk ε4-bearing APOE-TOMM40-APOC1 profiles with temporo-limbic region markers. DISCUSSION: The APOE-AD heterogeneity may be partly attributed to the modulating role of the TOMM40 and APOC1 genes in the APOE cluster. HIGHLIGHTS: The ε4 allele is associated with smaller values of neuroimaging markers in AD cases. Larger values of neuroimaging markers may protect against AD in the ε4 carriers. TOMM40 and APOC1 variants differentiate AD risk in the ε4 carriers. The same variants can differentiate the links between ε4 and neuroimaging markers.",Alzheimer's & dementia : the journal of the Alzheimer's Association
